product_name;parameter_name;value
AMD Ryzen 5 7600X 6-Core 4.7GHz AM5 Box (100-100000593WOF);Core Count;6
AMD Ryzen 5 7600X 6-Core 4.7GHz AM5 Box (100-100000593WOF);Thread Count;12
AMD Ryzen 5 7600X 6-Core 4.7GHz AM5 Box (100-100000593WOF);Clock Speed;4700
AMD Ryzen 5 7600X 6-Core 4.7GHz AM5 Box (100-100000593WOF);Turbo Clock Speed;5300
AMD Ryzen 5 7600X 6-Core 4.7GHz AM5 Box (100-100000593WOF);Integrated Graphics;AMD Radeon Graphics
AMD Ryzen 5 7600X 6-Core 4.7GHz AM5 Box (100-100000593WOF);L2 Cache Size;6
AMD Ryzen 5 7600X 6-Core 4.7GHz AM5 Box (100-100000593WOF);L3 Cache Size;N/A
AMD Ryzen 5 7600X 6-Core 4.7GHz AM5 Box (100-100000593WOF);Thermal Design Power (TDP);N/A
Intel Core i5-14600K 14-Core 3.4GHz LGA1700 Box (BX8071514600K);Core Count;14
Intel Core i5-14600K 14-Core 3.4GHz LGA1700 Box (BX8071514600K);Thread Count;20
Intel Core i5-14600K 14-Core 3.4GHz LGA1700 Box (BX8071514600K);Clock Speed;2600
Intel Core i5-14600K 14-Core 3.4GHz LGA1700 Box (BX8071514600K);Turbo Clock Speed;5300
Intel Core i5-14600K 14-Core 3.4GHz LGA1700 Box (BX8071514600K);Integrated Graphics;Intel UHD Graphics 770
Intel Core i5-14600K 14-Core 3.4GHz LGA1700 Box (BX8071514600K);L2 Cache Size;20
Intel Core i5-14600K 14-Core 3.4GHz LGA1700 Box (BX8071514600K);L3 Cache Size;N/A
Intel Core i5-14600K 14-Core 3.4GHz LGA1700 Box (BX8071514600K);Thermal Design Power (TDP);N/A
AMD Ryzen 5 3600 6-Core 3.6GHz AM4 Box (100-100000031BOX);Core Count;6
AMD Ryzen 5 3600 6-Core 3.6GHz AM4 Box (100-100000031BOX);Thread Count;12
AMD Ryzen 5 3600 6-Core 3.6GHz AM4 Box (100-100000031BOX);Clock Speed;3600
AMD Ryzen 5 3600 6-Core 3.6GHz AM4 Box (100-100000031BOX);Turbo Clock Speed;4200
AMD Ryzen 5 3600 6-Core 3.6GHz AM4 Box (100-100000031BOX);Integrated Graphics;No
AMD Ryzen 5 3600 6-Core 3.6GHz AM4 Box (100-100000031BOX);L2 Cache Size;3
AMD Ryzen 5 3600 6-Core 3.6GHz AM4 Box (100-100000031BOX);L3 Cache Size;N/A
AMD Ryzen 5 3600 6-Core 3.6GHz AM4 Box (100-100000031BOX);Thermal Design Power (TDP);N/A
AMD Ryzen 7 9700X 8-Core 3.8GHz AM5 Box (100-100001404WOF);Core Count;8
AMD Ryzen 7 9700X 8-Core 3.8GHz AM5 Box (100-100001404WOF);Thread Count;16
AMD Ryzen 7 9700X 8-Core 3.8GHz AM5 Box (100-100001404WOF);Clock Speed;3800
AMD Ryzen 7 9700X 8-Core 3.8GHz AM5 Box (100-100001404WOF);Turbo Clock Speed;5500
AMD Ryzen 7 9700X 8-Core 3.8GHz AM5 Box (100-100001404WOF);Integrated Graphics;AMD Radeon Graphics
AMD Ryzen 7 9700X 8-Core 3.8GHz AM5 Box (100-100001404WOF);L2 Cache Size;8
AMD Ryzen 7 9700X 8-Core 3.8GHz AM5 Box (100-100001404WOF);L3 Cache Size;N/A
AMD Ryzen 7 9700X 8-Core 3.8GHz AM5 Box (100-100001404WOF);Thermal Design Power (TDP);N/A
AMD Ryzen 7 5700 8-Core 3.7GHz AM4 Box (100-000000743BOX);Core Count;8
AMD Ryzen 7 5700 8-Core 3.7GHz AM4 Box (100-000000743BOX);Thread Count;16
AMD Ryzen 7 5700 8-Core 3.7GHz AM4 Box (100-000000743BOX);Clock Speed;3700
AMD Ryzen 7 5700 8-Core 3.7GHz AM4 Box (100-000000743BOX);Turbo Clock Speed;4600
AMD Ryzen 7 5700 8-Core 3.7GHz AM4 Box (100-000000743BOX);Integrated Graphics;No
AMD Ryzen 7 5700 8-Core 3.7GHz AM4 Box (100-000000743BOX);L2 Cache Size;4
AMD Ryzen 7 5700 8-Core 3.7GHz AM4 Box (100-000000743BOX);L3 Cache Size;16
AMD Ryzen 7 5700 8-Core 3.7GHz AM4 Box (100-000000743BOX);Thermal Design Power (TDP);65
AMD Ryzen 5 5600 6-Core 3.5Ghz AM4 Tray (100-000000927);Core Count;6
AMD Ryzen 5 5600 6-Core 3.5Ghz AM4 Tray (100-000000927);Thread Count;12
AMD Ryzen 5 5600 6-Core 3.5Ghz AM4 Tray (100-000000927);Clock Speed;3500
AMD Ryzen 5 5600 6-Core 3.5Ghz AM4 Tray (100-000000927);Turbo Clock Speed;4400
AMD Ryzen 5 5600 6-Core 3.5Ghz AM4 Tray (100-000000927);Integrated Graphics;No
AMD Ryzen 5 5600 6-Core 3.5Ghz AM4 Tray (100-000000927);L2 Cache Size;3
AMD Ryzen 5 5600 6-Core 3.5Ghz AM4 Tray (100-000000927);L3 Cache Size;32
AMD Ryzen 5 5600 6-Core 3.5Ghz AM4 Tray (100-000000927);Thermal Design Power (TDP);65
Kingston FURY Beast 32GB (2x16GB) DDR5 6000MHz KF560C30BBEK2-32;Memory Capacity;32
Kingston FURY Beast 32GB (2x16GB) DDR5 6000MHz KF560C30BBEK2-32;Memory Type;DDR5
Kingston FURY Beast 32GB (2x16GB) DDR5 6000MHz KF560C30BBEK2-32;Bus Speed;N/A
Kingston FURY Beast 32GB (2x16GB) DDR5 6000MHz KF560C30BBEK2-32;CAS Latency;N/A
Kingston FURY Beast 16GB (2x8GB) DDR4 3200MHz KF432C16BBK2/16;Memory Capacity;16
Kingston FURY Beast 16GB (2x8GB) DDR4 3200MHz KF432C16BBK2/16;Memory Type;DDR4
Kingston FURY Beast 16GB (2x8GB) DDR4 3200MHz KF432C16BBK2/16;Bus Speed;N/A
Kingston FURY Beast 16GB (2x8GB) DDR4 3200MHz KF432C16BBK2/16;CAS Latency;N/A
Kingston FURY Beast 64GB (2x32GB) DDR5 6000MHz KF560C30BBEK2-64;Memory Capacity;64
Kingston FURY Beast 64GB (2x32GB) DDR5 6000MHz KF560C30BBEK2-64;Memory Type;DDR5
Kingston FURY Beast 64GB (2x32GB) DDR5 6000MHz KF560C30BBEK2-64;Bus Speed;N/A
Kingston FURY Beast 64GB (2x32GB) DDR5 6000MHz KF560C30BBEK2-64;CAS Latency;N/A
Kingston FURY Beast 32GB (2x16GB) DDR4 3200MHz KF432C16BBK2/32;Memory Capacity;32
Kingston FURY Beast 32GB (2x16GB) DDR4 3200MHz KF432C16BBK2/32;Memory Type;DDR4
Kingston FURY Beast 32GB (2x16GB) DDR4 3200MHz KF432C16BBK2/32;Bus Speed;N/A
Kingston FURY Beast 32GB (2x16GB) DDR4 3200MHz KF432C16BBK2/32;CAS Latency;N/A
